83000,Colonia Hermosillo Centro,Urbano
83010,Colonia 5 de Mayo,Urbano
83010,Colonia Country Club,Urbano
83010,Colonia Lomas Pitic,Urbano
83010,Colonia Mediterr�neo Residencial,Urbano
83010,Fraccionamiento Cerrada el Encanto,Urbano
83010,Colonia Los Igualados,Urbano
83010,Fraccionamiento Los Altos Residencial,Urbano
83010,Fraccionamiento Country Club Residencial,Urbano
83013,Colonia PEMEX,Urbano
83013,Colonia Ferrocarrilera,Urbano
83015,Colonia Rinconada de Nuevo Le�n,Urbano
83016,Colonia Cruz G�lvez,Urbano
83020,Colonia Amapolas,Urbano
83029,Colonia Metalera,Urbano
83030,Colonia Ca�ada de los Negros,Urbano
83040,Colonia Coloso,Urbano
83040,Colonia El Mariachi,Urbano
83050,Colonia El Ranchito,Urbano
83050,Colonia Rinconada de La Cruz,Urbano
83050,Colonia Bella Vista,Urbano
83060,Colonia Los Naranjos,Urbano
83067,Colonia Universidad,Urbano
83067,Fraccionamiento Privada Casa Blanca,Urbano
83068,Colonia Revoluci�n II,Urbano
83068,Fraccionamiento Los Sauces,Urbano
83070,Colonia Del Razo,Urbano
83070,Colonia San Juan,Urbano
83078,Colonia Revoluci�n I,Urbano
83079,Colonia Casa Blanca,Urbano
83079,Colonia Cerro de La Campana,Urbano
83079,Colonia Villa del Pitic,Urbano
83079,Colonia Cerrada Norwalk,Urbano
83079,Colonia Chino Abelardo,Urbano
83080,Colonia La Matanza,Urbano
83089,Colonia Las Pilas,Urbano
83090,Colonia Hacienda de La Flor,Urbano
83100,Colonia Apolo,Urbano
83100,Colonia Atardeceres,Urbano
83100,Colonia Ley 57,Urbano
83100,Colonia Popular,Urbano
83100,Colonia Prados del Sol,Urbano
83100,Fraccionamiento Misi�n Del Real,Urbano
83100,Fraccionamiento Misi�n Del Sol,Urbano
83100,Fraccionamiento San Diego,Urbano
83100,Colonia Prados de Bugambilias,Urbano
83100,Fraccionamiento Misi�n San Ignacio,Urbano
83100,Colonia Prados de Bugambilias II,Urbano
83100,Colonia Residencial Kino,Urbano
83100,Colonia Cerrada del Carmen,Urbano
83100,Colonia Privada C�rdoba,Urbano
83100,Colonia Privada Robles,Urbano
83100,"Colonia 15 ""A""",Urbano
83103,Colonia CNOP,Urbano
83103,Colonia Lomas de Madrid,Urbano
83104,Colonia L�pez Portillo,Urbano
83104,Fraccionamiento Altos de Arag�n,Urbano
83104,Fraccionamiento Alta Firenze Residencial,Urbano
83104,Fraccionamiento Alta Firenze Norte,Urbano
83104,Fraccionamiento San Rafael Residencial,Urbano
83104,Colonia Lomas de Linda Vista,Urbano
83104,Colonia Arcadia,Urbano
83104,Colonia Port�n Del Arco,Urbano
83104,Colonia Cumbres Residencial III,Urbano
83104,Colonia Margaritas Olivos,Urbano
83104,Colonia Valle de Santa M�nica,Urbano
83104,Colonia Alborada,Urbano
83104,Fraccionamiento Loma Blanca,Urbano
83104,Fraccionamiento Privadas del Mirador,Urbano
83104,Fraccionamiento Palermo Secci�n Veneto,Urbano
83104,Colonia Colinas Del Bachoco,Urbano
83104,Fraccionamiento Palermo Secci�n Partanna,Urbano
83104,Fraccionamiento Altos de Agust�n Residencial,Urbano
83104,Fraccionamiento Palermo Secci�n Ferrara,Urbano
83105,Colonia Jacinto L�pez,Urbano
83105,Fraccionamiento Residencial la Cima,Urbano
83105,Fraccionamiento Residencial la Cima II,Urbano
83105,Fraccionamiento Caperuzo,Urbano
83105,Colonia 4 de Marzo,Urbano
83105,Fraccionamiento El Cortijo,Urbano
83105,Fraccionamiento Haciendas Residencial,Urbano
83105,Fraccionamiento La Caridad,Urbano
83105,Fraccionamiento Nuevo Horizonte,Urbano
83105,Fraccionamiento Paseo de las Palmas,Urbano
83105,Fraccionamiento Villas del Palmar,Urbano
83105,Colonia San Sebasti�n,Urbano
83105,Fraccionamiento Cerrada de La Capilla,Urbano
83105,Fraccionamiento El Cortijo Secci�n Pioneros,Urbano
83105,Fraccionamiento Cortijo Periodista,Urbano
83105,Fraccionamiento Retorno de La Misi�n,Urbano
83105,Colonia Red 2000,Urbano
83105,Fraccionamiento Cerrada la Caridad,Urbano
83105,Fraccionamiento Lomas del Norte,Urbano
83106,Colonia Insurgentes,Urbano
83106,Fraccionamiento Monterosa H�bitat Residencial,Urbano
83106,Fraccionamiento C�rdeno Residencial,Urbano
83106,Fraccionamiento Vista Azul,Urbano
83106,Fraccionamiento La Mirada Residencial,Urbano
83106,Fraccionamiento Alto Valle,Urbano
83106,Fraccionamiento San Lorenzo,Urbano
83106,Fraccionamiento Los �ngeles,Urbano
83106,Fraccionamiento Rinc�n de Palmas,Urbano
83106,Fraccionamiento Villa Colonial,Urbano
83106,Fraccionamiento Villa Dorada,Urbano
83106,Fraccionamiento Villas de Cortes,Urbano
83106,Colonia Villa Guadalupe,Urbano
83106,Colonia Villa Sonora,Urbano
83106,Colonia Villas del Cortijo,Urbano
83106,Colonia Heberto Castillo,Urbano
83106,Colonia Villa Del Rey,Urbano
83106,Fraccionamiento Las Palmas,Urbano
83106,Fraccionamiento Privada Mixcoac,Urbano
